,accuracy,precision,recall,f1,kappa,set,modelo
0,0.8794326241134752,0.88,0.8918918918918919,0.8859060402684563,0.7580986981531941,test,Regresión Logística Codificadas
1,0.8571428571428571,0.83203125,0.852,0.841897233201581,0.7116374871266735,train,Regresión Logística Codificadas
0,0.8865248226950354,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.772488906817265,test,Regresión Logística Codificadas y Estandarizadas
1,0.8607142857142858,0.8385826771653543,0.852,0.8452380952380952,0.7186292192733832,train,Regresión Logística Codificadas y Estandarizadas
0,0.8226950354609929,0.855072463768116,0.7972972972972973,0.8251748251748252,0.6457642447995177,test,Decision Tree Codificadas Estandarizadas I
1,1.0,1.0,1.0,1.0,1.0,train,Decision Tree Codificadas Estandarizadas I
0,0.8652482269503546,0.8160919540229885,0.9594594594594594,0.8819875776397516,0.7273282442748092,test,Decision Tree Codificadas Estandarizadas II
1,0.8178571428571428,0.7418300653594772,0.908,0.8165467625899282,0.6393028542561252,train,Decision Tree Codificadas Estandarizadas II
0,0.8368794326241135,0.7802197802197802,0.9594594594594594,0.8606060606060606,0.6689803000918648,test,Decision Tree Codificadas Estandarizadas III
1,0.8214285714285714,0.7450980392156863,0.912,0.8201438848920864,0.6463753473099267,train,Decision Tree Codificadas Estandarizadas III
